req_id,doc_id,section,req_type,mandatory,applies_to,condition,priority,due_stage,competency,assessment,prerequisites,clause_text,case_refs
R-HBK-001,HBK-01,1.2,Must Acknowledge,Y,ALL,,High,D1,Company Orientation,Acknowledgement,,"All employees must read the Employee Handbook and sign the acknowledgement form on their first working day.",
R-HBK-002,HBK-01,2.1,Must Complete,Y,ALL,,High,D1,Company Orientation,Checklist,,"Employees must collect their staff ID badge from Human Resources on Day 1 and wear it visibly at all times while on property.",
R-HBK-003,HBK-01,2.4,Must Know,Y,ALL,,Medium,W1,Company Orientation,Quiz,,"Employees must use the staff entrance and record attendance on the biometric clock at the start and end of every shift.",
R-HBK-004,HBK-01,3.2,Recommended,N,ALL,,Low,D30,Company Orientation,None,,"New employees are encouraged to complete the Aurelle Culture e-learning path within their first 30 days.",
R-HBK-005,HBK-01,6.1,Must Know,Y,ALL,,High,W1,Fire & Life Safety,Quiz,,"Employees must take part in the annual fire drill held at their property.",C06
R-HBK-006,HBK-01,5.3,Must Know,Y,FBA,,High,W1,Food Safety,Quiz,,"Chilled food must be kept at or below 5 °C.",C08
R-HBK-007,HBK-01,7.2,Must Know,Y,ALL,,Medium,W1,Workplace Conduct,Quiz,,"Employees must not accept gifts of any value from guests or suppliers.",C13
R-HRP-001,HRP-01,2.1,Must Know,Y,ALL,,Medium,W1,HR Essentials,Quiz,,"New employees must complete a six-month probation period, with formal reviews at the end of months one, three and five.",
R-HRP-002,HRP-01,2.3,Must Complete,Y,ALL,,High,D30,HR Essentials,Checklist,,"Employees must complete a 30-day check-in meeting with their reporting manager and record it in the HR portal.",
R-HRP-003,HRP-01,3.1,Must Know,Y,ALL,,Medium,W1,HR Essentials,Quiz,,"Standard working time is 48 hours per week across six shifts; overtime is required to be approved in advance by the department head.",
R-HRP-004,HRP-01,3.4,Must Know,Y,ALL,Works night shifts (22:00-07:00),Medium,W1,HR Essentials,Quiz,,"Employees working night shifts must take a paid 30-minute break between 02:00 and 04:00 and must not leave the property during it.",
R-HRP-005,HRP-01,4.2,Must Know,Y,ALL,,High,W1,HR Essentials,Quiz,,"Absence due to illness must be reported to the supervisor at least two hours before the start of the shift.",
R-HRP-006,HRP-01,5.1,Must Know,Y,ALL,,Medium,W2,HR Essentials,Quiz,,"Grievances must be raised first with the direct supervisor and, if unresolved within five working days, escalated in writing to Human Resources.",
R-HRP-007,HRP-01,6.2,Optional,N,ALL,,Low,D90,HR Essentials,None,,"Employees may apply for an internal transfer after completing 12 months of service.",
R-LVP-001,LVP-01,2.1,Must Know,Y,ALL,,Medium,W2,HR Essentials,Quiz,,"Employees are entitled to 30 calendar days of annual leave per year, accrued monthly from the date of joining.",
R-LVP-002,LVP-01,2.4,Must Know,Y,ALL,,Medium,W2,HR Essentials,Quiz,,"A maximum of 5 unused annual leave days may be carried forward to the next year; any excess days lapse on 31 March.",V01;C03
R-LVP-003,LVP-01,3.1,Must Know,Y,ALL,,High,W1,HR Essentials,Quiz,,"Annual leave requests must be submitted through the HR portal at least 14 days before the first day of leave.",V01
