Plan,Rule,Severity,Implied status,Item,Requirement,Message
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-REV-01-006,Mandatory requirement R-REV-01-006 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-FLS-01-005,Mandatory requirement R-FLS-01-005 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-HSP-01-005,Mandatory requirement R-HSP-01-005 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-HSP-01-007,Mandatory requirement R-HSP-01-007 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-REV-01-005,Mandatory requirement R-REV-01-005 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-CMP-01-006,Mandatory requirement R-CMP-01-006 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-001,Mandatory requirement R-FIN-01-001 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-002,Mandatory requirement R-FIN-01-002 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-003,Mandatory requirement R-FIN-01-003 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-004,Mandatory requirement R-FIN-01-004 is not in the plan.
P-E001 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-005,Mandatory requirement R-FIN-01-005 is not in the plan.
P-E001 v1,V-ROLE,error,Unsupported Requirement,,R-ESC-01-003,R-ESC-01-003 is valid company content but does not apply to the FOA role.
P-E001 v1,V-ROLE,error,Unsupported Requirement,,R-REV-01-003,R-REV-01-003 is valid company content but does not apply to the FOA role.
P-E001 v1,V-ROLE,error,Unsupported Requirement,,R-REV-01-001,R-REV-01-001 is valid company content but does not apply to the FOA role.
P-E001 v1,V-ROLE,error,Unsupported Requirement,,R-SOP-GR-01-004,R-SOP-GR-01-004 is valid company content but does not apply to the FOA role.
P-E001 v1,V-ROLE,error,Unsupported Requirement,,R-ESC-01-004,R-ESC-01-004 is valid company content but does not apply to the FOA role.
P-E001 v1,V-ROLE,error,Unsupported Requirement,,R-SOP-FO-02-006,R-SOP-FO-02-006 is valid company content but does not apply to the FOA role.
P-E001 v1,V-ROLE,error,Unsupported Requirement,,R-PCH-01-008,R-PCH-01-008 is valid company content but does not apply to the FOA role.
