Plan,Item,Type,Status,Requirements,Cited document,Cited section,Source found,Model,Prompt
P-E001 v1,P-E001-v1.M01.O01,objective,Verified,"R-GDP-01-002, R-GDP-01-003, R-GDP-01-004, R-GDP-01-009",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.O02,objective,Verified,R-GDP-01-005,,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.O03,objective,Verified,"R-GDP-01-007, R-GDP-01-008, R-ISP-01-007",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.C01,checklist,Verified,R-CMP-01-002,CMP-01,2.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.C02,checklist,Verified,R-GDP-01-001,GDP-01,2.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.T01,task,Verified,R-GDP-01-004,GDP-01,4.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.S01,scenario,Verified,R-GDP-01-005,GDP-01,5.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.Q01,quiz_question,Verified,R-GDP-01-002,GDP-01,3.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.Q02,quiz_question,Verified,R-GDP-01-003,GDP-01,4.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.Q03,quiz_question,Verified,R-GDP-01-004,GDP-01,4.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.Q04,quiz_question,Verified,R-GDP-01-005,GDP-01,5.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.Q05,quiz_question,Verified,R-GDP-01-008,GDP-01,7.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.Q06,quiz_question,Verified,R-GDP-01-009,GDP-01,4.5,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M01.X01,assessment,Verified,"R-CMP-01-002, R-GDP-01-001, R-GDP-01-002, R-GDP-01-003, R-GDP-01-004, R-GDP-01-005, R-GDP-01-007, R-GDP-01-008, R-GDP-01-009, R-ISP-01-007",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.O01,objective,Verified,"R-SOP-FO-01-001, R-SOP-FO-01-002, R-SOP-FO-01-003, R-SOP-FO-01-004, R-SOP-FO-01-005",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.O02,objective,Verified,"R-FLS-01-007, R-SOP-FO-01-006, R-SOP-FO-01-007, R-ROL-01-001, R-ROL-01-002",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C01,checklist,Verified,R-FLS-01-007,FLS-01,5.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C02,checklist,Verified,R-SOP-FO-01-001,SOP-FO-01,2.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C03,checklist,Verified,R-SOP-FO-01-002,SOP-FO-01,2.4,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C04,checklist,Verified,R-SOP-FO-01-003,SOP-FO-01,3.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C05,checklist,Verified,R-SOP-FO-01-004,SOP-FO-01,3.3,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C06,checklist,Verified,R-SOP-FO-01-005,SOP-FO-01,4.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C07,checklist,Verified,R-SOP-FO-01-006,SOP-FO-01,5.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C08,checklist,Verified,R-SOP-FO-01-007,SOP-FO-01,6.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C09,checklist,Verified,R-ROL-01-001,ROL-01,1.3,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C10,checklist,Verified,R-ROL-01-002,ROL-01,1.4,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.C11,checklist,Verified,R-FAQ-01-004,FAQ-01,Q15,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.T01,task,Verified,R-SOP-FO-01-001,SOP-FO-01,2.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.S01,scenario,Verified,R-SOP-FO-01-006,SOP-FO-01,5.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.Q01,quiz_question,Verified,R-FLS-01-007,FLS-01,5.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.Q02,quiz_question,Verified,R-SOP-FO-01-002,SOP-FO-01,2.4,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.Q03,quiz_question,Verified,R-SOP-FO-01-003,SOP-FO-01,3.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.Q04,quiz_question,Verified,R-SOP-FO-01-006,SOP-FO-01,5.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.Q05,quiz_question,Verified,R-ROL-01-002,ROL-01,1.4,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.Q06,quiz_question,Verified,R-SOP-FO-01-007,SOP-FO-01,6.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M02.X01,assessment,Verified,"R-FLS-01-007, R-SOP-FO-01-001, R-SOP-FO-01-002, R-SOP-FO-01-003, R-SOP-FO-01-004, R-SOP-FO-01-005, R-SOP-FO-01-006, R-SOP-FO-01-007, R-ROL-01-001, R-ROL-01-002, R-FAQ-01-004",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M03.O01,objective,Verified,"R-SOP-GR-01-001, R-SOP-GR-01-002, R-SOP-GR-01-003, R-SOP-GR-01-006",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M03.O02,objective,Verified,"R-CMP-01-001, R-FLS-01-001, R-FLS-01-002, R-FLS-01-003",,,,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M03.C01,checklist,Verified,R-CMP-01-001,CMP-01,2.1,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M03.C02,checklist,Verified,R-FLS-01-001,FLS-01,1.2,Yes,gemini-3.5-flash-lite,module_content v1.1
P-E001 v1,P-E001-v1.M03.T01,task,Verified,R-FLS-01-002,FLS-01,1.3,Yes,gemini-3.5-flash-lite,module_content v1.1
